,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
cum_sum_mu_p[81],2.93,0.4,2.22,3.66,0.01,0.01,814.16,1596.58,1.01
cum_sum_mu_p[82],2.93,0.4,2.22,3.67,0.01,0.01,814.5,1586.9,1.01
cum_sum_mu_p[83],2.93,0.4,2.22,3.67,0.01,0.01,814.83,1598.04,1.01
cum_sum_mu_p[84],2.93,0.4,2.23,3.67,0.01,0.01,815.15,1593.59,1.01
cum_sum_mu_p[85],2.93,0.4,2.22,3.67,0.01,0.01,815.29,1596.1,1.01
cum_sum_mu_p[86],2.93,0.4,2.22,3.67,0.01,0.01,815.43,1601.53,1.01
cum_sum_mu_p[87],2.93,0.4,2.23,3.67,0.01,0.01,815.54,1600.62,1.01
cum_sum_mu_p[88],2.93,0.4,2.23,3.68,0.01,0.01,815.62,1599.51,1.01
cum_sum_mu_p[89],2.93,0.4,2.23,3.68,0.01,0.01,815.69,1601.4,1.01
cum_sum_mu_p[90],2.93,0.4,2.23,3.68,0.01,0.01,815.7,1604.58,1.01
cum_sum_mu_p[91],2.93,0.4,2.23,3.68,0.01,0.01,815.72,1599.3,1.01
cum_sum_mu_p[92],2.93,0.4,2.23,3.67,0.01,0.01,815.74,1599.3,1.01
cum_sum_mu_p[93],2.93,0.4,2.23,3.68,0.01,0.01,815.75,1599.3,1.01
cum_sum_mu_p[94],2.93,0.4,2.23,3.67,0.01,0.01,815.77,1600.92,1.01
cum_sum_mu_p[95],2.93,0.4,2.23,3.67,0.01,0.01,815.77,1600.92,1.01
cum_sum_mu_p[96],2.93,0.4,2.23,3.67,0.01,0.01,815.78,1600.92,1.01
cum_sum_mu_p[97],2.93,0.4,2.23,3.67,0.01,0.01,815.78,1600.92,1.01
cum_sum_mu_p[98],2.93,0.4,2.23,3.67,0.01,0.01,815.78,1600.92,1.01
cum_sum_mu_p[99],2.93,0.4,2.23,3.67,0.01,0.01,815.78,1600.92,1.01
cum_sum_mu_p[100],2.93,0.4,2.23,3.67,0.01,0.01,815.78,1600.92,1.01
mu_interval_p[0],0.03,0.01,0.02,0.04,0.0,0.0,5316.26,6102.75,1.0
mu_interval_p[1],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
mu_interval_p[2],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
mu_interval_p[3],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
mu_interval_p[4],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
mu_interval_p[5],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
mu_interval_p[6],0.04,0.01,0.03,0.06,0.0,0.0,784.13,1561.72,1.01
mu_interval_p[7],0.03,0.01,0.02,0.04,0.0,0.0,5264.6,5878.18,1.0
mu_interval_p[8],0.03,0.01,0.02,0.04,0.0,0.0,5181.56,5817.06,1.0
mu_interval_p[9],0.02,0.0,0.01,0.03,0.0,0.0,5631.44,6521.1,1.0
mu_interval_p[10],0.04,0.01,0.03,0.06,0.0,0.0,784.13,1561.72,1.01
mu_interval_p[11],0.04,0.01,0.03,0.05,0.0,0.0,800.29,1638.37,1.01
mu_interval_p[12],0.01,0.0,0.0,0.01,0.0,0.0,5279.01,5990.32,1.0
mu_interval_p[13],0.01,0.0,0.0,0.01,0.0,0.0,5309.0,6016.75,1.0
mu_interval_p[14],0.01,0.0,0.01,0.02,0.0,0.0,6226.88,7409.19,1.0
mu_interval_p[15],0.02,0.0,0.01,0.03,0.0,0.0,5627.63,6479.27,1.0
mu_interval_p[16],0.04,0.01,0.03,0.06,0.0,0.0,781.0,1551.61,1.01
mu_interval_p[17],0.04,0.01,0.03,0.05,0.0,0.0,4235.14,6297.3,1.0
mu_interval_p[18],0.05,0.01,0.03,0.07,0.0,0.0,994.67,2502.79,1.01
mu_interval_p[19],0.04,0.01,0.03,0.05,0.0,0.0,685.5,1182.56,1.01
mu_interval_p[20],0.03,0.01,0.02,0.04,0.0,0.0,795.23,1258.7,1.01
mu_interval_p[21],0.02,0.0,0.01,0.03,0.0,0.0,1499.33,2346.61,1.0
mu_interval_p[22],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
mu_interval_p[23],0.02,0.0,0.01,0.03,0.0,0.0,5631.44,6521.1,1.0
mu_interval_p[24],0.04,0.01,0.03,0.05,0.0,0.0,4744.9,6190.53,1.0
mu_interval_p[25],0.05,0.01,0.03,0.07,0.0,0.0,912.96,2127.47,1.01
mu_interval_p[26],0.04,0.01,0.02,0.05,0.0,0.0,686.31,1183.82,1.01
mu_interval_p[27],0.02,0.01,0.01,0.03,0.0,0.0,1288.32,1820.59,1.0
mu_interval_p[28],0.03,0.01,0.02,0.04,0.0,0.0,5316.26,6102.75,1.0
mu_interval_p[29],0.04,0.01,0.03,0.05,0.0,0.0,788.39,1544.15,1.01
mu_interval_p[30],0.02,0.0,0.02,0.03,0.0,0.0,5449.8,6388.73,1.0
mu_interval_p[31],0.04,0.01,0.03,0.06,0.0,0.0,784.13,1561.72,1.01
mu_interval_p[32],0.03,0.01,0.02,0.04,0.0,0.0,5219.08,5799.58,1.0
mu_interval_p[33],0.05,0.01,0.03,0.06,0.0,0.0,1714.1,4740.79,1.0
mu_interval_p[34],0.05,0.01,0.03,0.07,0.0,0.0,819.92,1715.88,1.01
mu_interval_p[35],0.04,0.01,0.02,0.05,0.0,0.0,691.88,1219.49,1.01
mu_interval_p[36],0.02,0.0,0.01,0.03,0.0,0.0,1115.83,1836.96,1.01
mu_interval_p[37],0.04,0.01,0.03,0.06,0.0,0.0,781.0,1551.61,1.01
mu_interval_p[38],0.04,0.01,0.03,0.06,0.0,0.0,781.0,1551.61,1.01
mu_interval_p[39],0.01,0.0,0.01,0.02,0.0,0.0,6196.49,7687.76,1.0
mu_interval_p[40],0.0,0.0,0.0,0.01,0.0,0.0,5258.97,6033.81,1.0
mu_interval_p[41],0.01,0.0,0.0,0.01,0.0,0.0,5295.52,5992.1,1.0
mu_interval_p[42],0.01,0.0,0.01,0.02,0.0,0.0,6226.86,7409.19,1.0
mu_interval_p[43],0.03,0.01,0.02,0.04,0.0,0.0,5264.53,5878.18,1.0
mu_interval_p[44],0.03,0.01,0.02,0.04,0.0,0.0,5316.26,6102.75,1.0
mu_interval_p[45],0.04,0.01,0.03,0.05,0.0,0.0,769.53,1482.48,1.01
mu_interval_p[46],0.01,0.0,0.01,0.02,0.0,0.0,1736.0,2419.07,1.0
mu_interval_p[47],0.02,0.0,0.02,0.03,0.0,0.0,5374.79,6436.7,1.0
mu_interval_p[48],0.04,0.01,0.03,0.05,0.0,0.0,662.21,1183.95,1.01
mu_interval_p[49],0.03,0.01,0.02,0.04,0.0,0.0,704.53,1242.27,1.01
mu_interval_p[50],0.04,0.01,0.03,0.06,0.0,0.0,781.0,1551.61,1.01
mu_interval_p[51],0.0,0.0,0.0,0.0,0.0,0.0,5376.18,6444.57,1.0
mu_interval_p[52],0.0,0.0,0.0,0.0,0.0,0.0,5376.18,6444.57,1.0
mu_interval_p[53],0.0,0.0,0.0,0.0,0.0,0.0,5376.18,6444.57,1.0
mu_interval_p[54],0.0,0.0,0.0,0.01,0.0,0.0,5258.97,6033.81,1.0
mu_interval_p[55],0.0,0.0,0.0,0.01,0.0,0.0,5258.97,6033.81,1.0
mu_interval_p[56],0.0,0.0,0.0,0.01,0.0,0.0,5258.97,6033.81,1.0
mu_interval_p[57],0.01,0.0,0.0,0.01,0.0,0.0,5290.21,5913.57,1.0
mu_interval_p[58],0.01,0.0,0.0,0.01,0.0,0.0,5290.21,5913.57,1.0
mu_interval_p[59],0.01,0.0,0.0,0.01,0.0,0.0,5290.21,5913.57,1.0
mu_interval_p[60],0.01,0.0,0.01,0.01,0.0,0.0,5667.74,6813.0,1.0
mu_interval_p[61],0.01,0.0,0.01,0.01,0.0,0.0,5667.74,6813.0,1.0
mu_interval_p[62],0.01,0.0,0.01,0.01,0.0,0.0,5667.74,6813.0,1.0
mu_interval_p[63],0.02,0.0,0.01,0.02,0.0,0.0,5879.77,6437.06,1.0
