age,sex,mean,lower_ci,upper_ci,lower_ci_p95,upper_ci_p95,lower_ci_p97_5,upper_ci_p97_5,lower_ci_p98_333,upper_ci_p98_333,lower_ci_p98_75,upper_ci_p98_75
32,Male,0.0002313152771171424,4.233095628448133e-05,0.0007348171973238665,4.233095628448133e-05,0.0007348171973238665,3.5430946882397703e-05,0.0008844255018454913,3.015327240102577e-05,0.0009508307022136444,2.7601101327358453e-05,0.0010045263224737584
33,Male,0.0003482648666688683,6.356148070275933e-05,0.0011069642082150275,6.356148070275933e-05,0.0011069642082150275,5.3023182887878667e-05,0.0013335537511981847,4.5133360553647705e-05,0.0014316509871114633,4.115853447055305e-05,0.0015128351330710127
34,Male,0.00046532744164755807,8.478302618060505e-05,0.0014783423197948604,8.478302618060505e-05,0.0014783423197948604,7.062831649414607e-05,0.001783139228262798,6.0119324115005564e-05,0.0019124851761975156,5.456943565122709e-05,0.0020247743994521268
35,Male,0.0005815541699403916,0.00010588539086946049,0.0018488123722010656,0.00010588539086946049,0.0018488123722010656,8.813750005787799e-05,0.002227689261929161,7.527180442371314e-05,0.002391149213842646,6.801228300989267e-05,0.002530572679433167
36,Male,0.0007175238386317037,0.0001692706328586919,0.001970440180046574,0.0001692706328586919,0.001970440180046574,0.00014129952330873242,0.0023305367799978825,0.0001312309962571847,0.0024887602257355934,0.00012516109446472477,0.0026044365868116994
37,Male,0.0008517352601014286,0.0001965331145365814,0.002131216348385822,0.0001965331145365814,0.002131216348385822,0.00016399923649546559,0.002429330622821977,0.0001494131473561909,0.0025910715284197983,0.00014346979582063424,0.002696543551156085
38,Male,0.0009844229718515983,0.0002168089004723251,0.0023443882671964136,0.0002168089004723251,0.0023443882671964136,0.00017955017917537587,0.002602233107000296,0.0001632395750707726,0.002728325943358113,0.0001546687802673458,0.0028218664595988574
39,Male,0.0011183878787831708,0.00023478081694229276,0.0026437407751110876,0.00023478081694229276,0.0026437407751110876,0.0001918329344270841,0.002845990083029113,0.000175267037601615,0.00295271065433977,0.00016597324918599996,0.0030299116639666526
40,Male,0.0012559419515199566,0.00025124503310677035,0.0029953770068797264,0.00025124503310677035,0.0029953770068797264,0.00020302253069672988,0.0032100271669620417,0.00018551374977767774,0.0033135580643590206,0.0001744905205822807,0.0033885046423374407
41,Male,0.001535133253275272,0.0006098661212171654,0.0031075541382786422,0.0006098661212171654,0.0031075541382786422,0.0005324436564247237,0.003327677597217187,0.0004971002565623586,0.0034291121292628706,0.00046929187967765704,0.00350008736099244
42,Male,0.0018160997542920566,0.0008033180413348384,0.003233686909977422,0.0008033180413348384,0.003233686909977422,0.0006921505671022012,0.0034514554641165572,0.0006395676446641101,0.003564059183533584,0.0005948007171697144,0.00364033823965006
43,Male,0.0020980742261072186,0.0009380396150345671,0.003378089633279412,0.0009380396150345671,0.003378089633279412,0.0008068487216229995,0.003592846585476137,0.0007311432605856711,0.003704593428209237,0.0006934084867692179,0.0038055556273250044
44,Male,0.0023820609018598477,0.001043410244654308,0.0035939899298164644,0.001043410244654308,0.0035939899298164644,0.0008947267806902012,0.0038091882344626587,0.0008168602854299379,0.003930966342118099,0.0007595261258966406,0.004022185345556385
45,Male,0.0026697010443925977,0.0011409786213967155,0.00393969051236784,0.0011409786213967155,0.00393969051236784,0.000962846881635741,0.0041603768011534625,0.000885755777789381,0.004298010694226807,0.0008289231697025526,0.004387986240369773
46,Male,0.002864766492310548,0.0015435148813648047,0.0041181859164122194,0.0015435148813648047,0.0041181859164122194,0.0013915599024759526,0.0043289078411442115,0.0013222730955968016,0.004473163649127031,0.0012830346309938463,0.004575057046766997
47,Male,0.0030622337671182246,0.0018998018236671692,0.0043174270341214925,0.0018998018236671692,0.0043174270341214925,0.0017716543638180648,0.004540656464884281,0.001704977098952693,0.0046685140752567396,0.0016644712865005735,0.0047703177005490646
48,Male,0.0032566146067704534,0.0021928310027504606,0.00453944309890107,0.0021928310027504606,0.00453944309890107,0.002056602488677337,0.004765568558974325,0.0019938655189988062,0.004897275480804184,0.0019304556227036805,0.004992555499738807
49,Male,0.003447263461649959,0.0023988299351625103,0.0047815940446154885,0.0023988299351625103,0.0047815940446154885,0.0022650309547623984,0.005016013686374136,0.0021773049177852893,0.005158181622363786,0.002122012356949136,0.005248329577408404
50,Male,0.003636643346222965,0.0025417864730896077,0.005035508173105408,0.0025417864730896077,0.005035508173105408,0.002396552312082213,0.005286798854353868,0.0023072031933478354,0.005440085796866612,0.0022533868924428237,0.005556026703159848
51,Male,0.003878270782199034,0.002772563579416676,0.005290794952293958,0.002772563579416676,0.005290794952293958,0.002636243679976721,0.005540911354517936,0.0025548097811555,0.005697764735470641,0.002501653435434793,0.005819854486590493
52,Male,0.004122952193851691,0.002977150866820753,0.005580683267055197,0.002977150866820753,0.005580683267055197,0.002846870675689651,0.005840977836469933,0.0027758764801326472,0.005999263457663888,0.002716110409392826,0.00613613504541494
53,Male,0.004370588900773694,0.0031697326022782973,0.005911812228259008,0.0031697326022782973,0.005911812228259008,0.003027725641931105,0.006196393498055353,0.0029476312944496275,0.006342333406523222,0.0029132723401867405,0.006494988463212952
